timestamp,target_time,y_target,El1_kA_filt_lag1,El1_kA_filt_lag2,El1_kA_filt_lag3,El1_kA_filt_lag4,El1_kA_filt_lag5,El1_pos_m_filt_lag1,El1_pos_m_filt_lag2,El1_pos_m_filt_lag3,El1_pos_m_filt_lag4,El1_pos_m_filt_lag5,El2_kA_filt_lag1,El2_kA_filt_lag2,El2_kA_filt_lag3,El2_kA_filt_lag4,El2_kA_filt_lag5,El2_pos_m_filt_lag1,El2_pos_m_filt_lag2,El2_pos_m_filt_lag3,El2_pos_m_filt_lag4,El2_pos_m_filt_lag5,El3_kA_filt_lag1,El3_kA_filt_lag2,El3_kA_filt_lag3,El3_kA_filt_lag4,El3_kA_filt_lag5,El3_pos_m_filt_lag1,El3_pos_m_filt_lag2,El3_pos_m_filt_lag3,El3_pos_m_filt_lag4,El3_pos_m_filt_lag5,RMS_V_transformer_filt_lag1,RMS_V_transformer_filt_lag2,RMS_V_transformer_filt_lag3,RMS_V_transformer_filt_lag4,RMS_V_transformer_filt_lag5,Tap_A_filt_lag1,Tap_A_filt_lag2,Tap_A_filt_lag3,Tap_A_filt_lag4,Tap_A_filt_lag5,Tap_B_filt_lag1,Tap_B_filt_lag2,Tap_B_filt_lag3,Tap_B_filt_lag4,Tap_B_filt_lag5,Tap_C_filt_lag1,Tap_C_filt_lag2,Tap_C_filt_lag3,Tap_C_filt_lag4,Tap_C_filt_lag5,UL1N_V_lag1,UL1N_V_lag2,UL1N_V_lag3,UL1N_V_lag4,UL1N_V_lag5,UL2N_V_lag1,UL2N_V_lag2,UL2N_V_lag3,UL2N_V_lag4,UL2N_V_lag5,UL3N_V_lag1,UL3N_V_lag2,UL3N_V_lag3,UL3N_V_lag4,UL3N_V_lag5,y_raw_lag1,y_raw_lag2,y_raw_lag3,y_raw_lag4,y_raw_lag5
2022-07-07 00:00:07+00:00,2022-07-07 00:00:20+00:00,1.0717937502398405,119.15171662294568,119.06678290382912,119.01014818529949,118.97846990456205,118.96695148915278,1.190323966733867,1.1903243478801833,1.190324647347112,1.190324855167351,1.190324974429438,120.33331168771134,120.3135261277436,120.3074238107515,120.31157319251832,120.32225765022952,1.2200283090300996,1.220028314659768,1.2200283210140928,1.2200283269933057,1.220028331871708,121.5321492662987,121.49812217331092,121.4783026042331,121.47066887285416,121.47235080821152,0.4456012116694293,0.4456002084276829,0.4455974561863072,0.4455939902102349,0.4455905945331064,165.4194104912408,165.4230452080423,165.42412143030066,165.4233602779995,165.42147846913105,14.000000000000792,14.000000000000451,14.00000000000019,13.999999999999709,13.999999999998971,14.000000000000792,14.000000000000451,14.00000000000019,13.999999999999709,13.999999999998971,14.000000000000792,14.000000000000451,14.00000000000019,13.999999999999709,13.999999999998971,166.0094299,166.1134796,166.2175293,166.3215942,166.4256439,168.4849396,168.4068146,168.3286896,168.2505493,168.1724243,162.0211182,161.7935181,161.565918,161.3383179,161.110733,1.0942663,1.0948904,1.0951953,1.0952469,1.095121
2022-07-07 00:00:08+00:00,2022-07-07 00:00:21+00:00,1.0714837851395116,119.26621612474298,119.15171662294568,119.06678290382912,119.01014818529949,118.97846990456205,1.190323529427508,1.190323966733867,1.1903243478801833,1.190324647347112,1.190324855167351,120.36939439966196,120.33331168771134,120.3135261277436,120.3074238107515,120.31157319251832,1.220028305555854,1.2200283090300996,1.220028314659768,1.2200283210140928,1.2200283269933057,121.58107123428064,121.5321492662987,121.49812217331092,121.4783026042331,121.47066887285416,0.4455992371517229,0.4456012116694293,0.4456002084276829,0.4455974561863072,0.4455939902102349,165.41257428671975,165.4194104912408,165.4230452080423,165.42412143030066,165.4233602779995,14.000000000001023,14.000000000000792,14.000000000000451,14.00000000000019,13.999999999999709,14.000000000001023,14.000000000000792,14.000000000000451,14.00000000000019,13.999999999999709,14.000000000001023,14.000000000000792,14.000000000000451,14.00000000000019,13.999999999999709,165.905365,166.0094299,166.1134796,166.2175293,166.3215942,168.5630798,168.4849396,168.4068146,168.3286896,168.2505493,161.9467621,162.0211182,161.7935181,161.565918,161.3383179,1.0932785,1.0942663,1.0948904,1.0951953,1.0952469
2022-07-07 00:00:09+00:00,2022-07-07 00:00:22+00:00,1.0712997487579965,119.40907306849851,119.26621612474298,119.15171662294568,119.06678290382912,119.01014818529949,1.190323078028143,1.190323529427508,1.190323966733867,1.1903243478801833,1.190324647347112,120.42312716462308,120.36939439966196,120.33331168771134,120.3135261277436,120.3074238107515,1.2200283058950698,1.220028305555854,1.2200283090300996,1.220028314659768,1.2200283210140928,121.64389010579522,121.58107123428064,121.5321492662987,121.49812217331092,121.4783026042331,0.4455929607558307,0.4455992371517229,0.4456012116694293,0.4456002084276829,0.4455974561863072,165.40204664291178,165.41257428671975,165.4194104912408,165.4230452080423,165.42412143030066,14.000000000001274,14.000000000001023,14.000000000000792,14.000000000000451,14.00000000000019,14.000000000001274,14.000000000001023,14.000000000000792,14.000000000000451,14.00000000000019,14.000000000001274,14.000000000001023,14.000000000000792,14.000000000000451,14.00000000000019,165.8013153,165.905365,166.0094299,166.1134796,166.2175293,168.6412048,168.5630798,168.4849396,168.4068146,168.3286896,161.8558502,161.9467621,162.0211182,161.7935181,161.565918,1.0919125,1.0932785,1.0942663,1.0948904,1.0951953
2022-07-07 00:00:10+00:00,2022-07-07 00:00:23+00:00,1.0711916334321017,119.5765062908722,119.40907306849851,119.26621612474298,119.15171662294568,119.06678290382912,1.1903226702250498,1.190323078028143,1.190323529427508,1.190323966733867,1.1903243478801833,120.494350688785,120.42312716462308,120.36939439966196,120.33331168771134,120.3135261277436,1.2200283117690642,1.2200283058950698,1.220028305555854,1.2200283090300996,1.220028314659768,121.71778432170944,121.64389010579522,121.58107123428064,121.5321492662987,121.49812217331092,0.4455810967397051,0.4455929607558307,0.4455992371517229,0.4456012116694293,0.4456002084276829,165.38754479589085,165.40204664291178,165.41257428671975,165.4194104912408,165.4230452080423,14.000000000001616,14.000000000001274,14.000000000001023,14.000000000000792,14.000000000000451,14.000000000001616,14.000000000001274,14.000000000001023,14.000000000000792,14.000000000000451,14.000000000001616,14.000000000001274,14.000000000001023,14.000000000000792,14.000000000000451,165.6972504,165.8013153,165.905365,166.0094299,166.1134796,168.7193451,168.6412048,168.5630798,168.4849396,168.4068146,161.7649231,161.8558502,161.9467621,162.0211182,161.7935181,1.0901892,1.0919125,1.0932785,1.0942663,1.0948904
2022-07-07 00:00:11+00:00,2022-07-07 00:00:24+00:00,1.0711259728981162,119.7624021038962,119.5765062908722,119.40907306849851,119.26621612474298,119.15171662294568,1.1903223761971065,1.1903226702250498,1.190323078028143,1.190323529427508,1.190323966733867,120.58139724057436,120.494350688785,120.42312716462308,120.36939439966196,120.33331168771134,1.2200283247456236,1.2200283117690642,1.2200283058950698,1.220028305555854,1.2200283090300996,121.79823187018656,121.71778432170944,121.64389010579522,121.58107123428064,121.5321492662987,0.4455625570700536,0.4455810967397051,0.4455929607558307,0.4455992371517229,0.4456012116694293,165.36901902070167,165.38754479589085,165.40204664291178,165.41257428671975,165.4194104912408,14.000000000001942,14.000000000001616,14.000000000001274,14.000000000001023,14.000000000000792,14.000000000001942,14.000000000001616,14.000000000001274,14.000000000001023,14.000000000000792,14.000000000001942,14.000000000001616,14.000000000001274,14.000000000001023,14.000000000000792,165.5932007,165.6972504,165.8013153,165.905365,166.0094299,168.7974701,168.7193451,168.6412048,168.5630798,168.4849396,161.6740112,161.7649231,161.8558502,161.9467621,162.0211182,1.0881655,1.0901892,1.0919125,1.0932785,1.0942663
2022-07-07 00:00:12+00:00,2022-07-07 00:00:25+00:00,1.071089595736789,119.95887880185124,119.7624021038962,119.5765062908722,119.40907306849851,119.26621612474298,1.1903222731612342,1.1903223761971065,1.1903226702250498,1.190323078028143,1.190323529427508,120.68135452389096,120.58139724057436,120.494350688785,120.42312716462308,120.36939439966196,1.2200283459841157,1.2200283247456236,1.2200283117690642,1.2200283058950698,1.220028305555854,121.87940647565566,121.79823187018656,121.71778432170944,121.64389010579522,121.58107123428064,0.4455366214739066,0.4455625570700536,0.4455810967397051,0.4455929607558307,0.4455992371517229,165.34664916170922,165.36901902070167,165.38754479589085,165.40204664291178,165.41257428671975,14.00000000000227,14.000000000001942,14.000000000001616,14.000000000001274,14.000000000001023,14.00000000000227,14.000000000001942,14.000000000001616,14.000000000001274,14.000000000001023,14.00000000000227,14.000000000001942,14.000000000001616,14.000000000001274,14.000000000001023,165.489151,165.5932007,165.6972504,165.8013153,165.905365,168.8756104,168.7974701,168.7193451,168.6412048,168.5630798,161.5830841,161.6740112,161.7649231,161.8558502,161.9467621,1.0859298,1.0881655,1.0901892,1.0919125,1.0932785
2022-07-07 00:00:13+00:00,2022-07-07 00:00:26+00:00,1.0710898776707451,120.15710800853222,119.95887880185124,119.7624021038962,119.5765062908722,119.40907306849851,1.1903224377044506,1.1903222731612342,1.1903223761971065,1.1903226702250498,1.190323078028143,120.79053548009338,120.68135452389096,120.58139724057436,120.494350688785,120.42312716462308,1.220028375964201,1.2200283459841157,1.2200283247456236,1.2200283117690642,1.2200283058950698,121.95481447711666,121.87940647565566,121.79823187018656,121.71778432170944,121.64389010579522,0.4455030992195076,0.4455366214739066,0.4455625570700536,0.4455810967397051,0.4455929607558307,165.32081621195496,165.34664916170922,165.36901902070167,165.38754479589085,165.40204664291178,14.00000000000257,14.00000000000227,14.000000000001942,14.000000000001616,14.000000000001274,14.00000000000257,14.00000000000227,14.000000000001942,14.000000000001616,14.000000000001274,14.00000000000257,14.00000000000227,14.000000000001942,14.000000000001616,14.000000000001274,165.3850861,165.489151,165.5932007,165.6972504,165.8013153,168.9537354,168.8756104,168.7974701,168.7193451,168.6412048,161.4921722,161.5830841,161.6740112,161.7649231,161.8558502,1.0835915,1.0859298,1.0881655,1.0901892,1.0919125
2022-07-07 00:00:14+00:00,2022-07-07 00:00:27+00:00,1.0711517851199193,120.34827775259946,120.15710800853222,119.95887880185124,119.7624021038962,119.5765062908722,1.190322936251061,1.1903224377044506,1.1903222731612342,1.1903223761971065,1.1903226702250498,120.90505472216546,120.79053548009338,120.68135452389096,120.58139724057436,120.494350688785,1.220028414226279,1.220028375964201,1.2200283459841157,1.2200283247456236,1.2200283117690642,122.01809334683828,121.95481447711666,121.87940647565566,121.79823187018656,121.71778432170944,0.4454624608299207,0.4455030992195076,0.4455366214739066,0.4455625570700536,0.4455810967397051,165.29205677735436,165.32081621195496,165.34664916170922,165.36901902070167,165.38754479589085,14.000000000002789,14.00000000000257,14.00000000000227,14.000000000001942,14.000000000001616,14.000000000002789,14.00000000000257,14.00000000000227,14.000000000001942,14.000000000001616,14.000000000002789,14.00000000000257,14.00000000000227,14.000000000001942,14.000000000001616,165.2810364,165.3850861,165.489151,165.5932007,165.6972504,169.0318604,168.9537354,168.8756104,168.7974701,168.7193451,161.4012451,161.4921722,161.5830841,161.6740112,161.7649231,1.0812688,1.0835915,1.0859298,1.0881655,1.0901892
2022-07-07 00:00:15+00:00,2022-07-07 00:00:28+00:00,1.0713124237133875,120.52455397371531,120.34827775259946,120.15710800853222,119.95887880185124,119.7624021038962,1.1903238142875183,1.190322936251061,1.1903224377044506,1.1903222731612342,1.1903223761971065,121.02139222895192,120.90505472216546,120.79053548009338,120.68135452389096,120.58139724057436,1.2200284591566335,1.220028414226279,1.220028375964201,1.2200283459841157,1.2200283247456236,122.06385480063976,122.01809334683828,121.95481447711666,121.87940647565566,121.79823187018656,0.4454159170727609,0.4454624608299207,0.4455030992195076,0.4455366214739066,0.4455625570700536,165.26100981492303,165.29205677735436,165.32081621195496,165.34664916170922,165.36901902070167,14.000000000002895,14.000000000002789,14.00000000000257,14.00000000000227,14.000000000001942,14.000000000002895,14.000000000002789,14.00000000000257,14.00000000000227,14.000000000001942,14.000000000002895,14.000000000002789,14.00000000000257,14.00000000000227,14.000000000001942,165.1769714,165.2810364,165.3850861,165.489151,165.5932007,169.1100006,169.0318604,168.9537354,168.8756104,168.7974701,161.3103333,161.4012451,161.4921722,161.5830841,161.6740112,1.0790749,1.0812688,1.0835915,1.0859298,1.0881655
2022-07-07 00:00:16+00:00,2022-07-07 00:00:29+00:00,1.0716140547064448,120.679897336086,120.52455397371531,120.34827775259946,120.15710800853222,119.95887880185124,1.1903250852416318,1.1903238142875183,1.190322936251061,1.1903224377044506,1.1903222731612342,121.13683219589174,121.02139222895192,120.90505472216546,120.79053548009338,120.68135452389096,1.220028507852919,1.2200284591566335,1.220028414226279,1.220028375964201,1.2200283459841157,122.08843910631418,122.06385480063976,122.01809334683828,121.95481447711666,121.87940647565566,0.4453654243532348,0.4454159170727609,0.4454624608299207,0.4455030992195076,0.4455366214739066,165.2283649952146,165.26100981492303,165.29205677735436,165.32081621195496,165.34664916170922,14.000000000002949,14.000000000002895,14.000000000002789,14.00000000000257,14.00000000000227,14.000000000002949,14.000000000002895,14.000000000002789,14.00000000000257,14.00000000000227,14.000000000002949,14.000000000002895,14.000000000002789,14.00000000000257,14.00000000000227,165.0729218,165.1769714,165.2810364,165.3850861,165.489151,169.2031708,169.1100006,169.0318604,168.9537354,168.8756104,161.2194061,161.3103333,161.4012451,161.4921722,161.5830841,1.077104,1.0790749,1.0812688,1.0835915,1.0859298
