timestamp,target_time,El1_Resistance_mOhm_filt,El1_kA_filt_lag1,El1_kA_filt_lag2,El1_pos_m_lag1,El1_pos_m_lag2,El1_pos_m_lag3,RMS_V_transformer_filt_lag1,y_filt_lag1
2022-07-06 22:01:05+00:00,2022-07-06 22:01:05+00:00,1.0857689276928806,115.9172111379944,115.9049831115211,1.297027588,1.297036438,1.297036438,170.25311110431116,1.0869662715864177
2022-07-06 22:01:06+00:00,2022-07-06 22:01:06+00:00,1.084365342034599,115.94422409589268,115.9172111379944,1.294858093,1.297027588,1.297036438,170.16986547045963,1.0857689276928806
2022-07-06 22:01:07+00:00,2022-07-06 22:01:07+00:00,1.0823186509073803,115.9899571758958,115.94422409589268,1.297036438,1.294858093,1.297027588,170.05356223098966,1.084365342034599
2022-07-06 22:01:08+00:00,2022-07-06 22:01:08+00:00,1.0795225556619072,116.05302436298032,115.9899571758958,1.297036438,1.297036438,1.294858093,169.90874753694794,1.0823186509073803
2022-07-06 22:01:09+00:00,2022-07-06 22:01:09+00:00,1.0763700144462964,116.12534927008716,116.05302436298032,1.297036438,1.297036438,1.297036438,169.7410413628931,1.0795225556619072
2022-07-06 22:01:10+00:00,2022-07-06 22:01:10+00:00,1.0734396793759318,116.19476965363036,116.12534927008716,1.297036438,1.297036438,1.297036438,169.5549178472965,1.0763700144462964
2022-07-06 22:01:11+00:00,2022-07-06 22:01:11+00:00,1.0712902481440874,116.25116220434909,116.19476965363036,1.2970187379999998,1.297036438,1.297036438,169.35391804023598,1.0734396793759318
2022-07-06 22:01:12+00:00,2022-07-06 22:01:12+00:00,1.0700091645085243,116.29281070175888,116.25116220434909,1.294859314,1.2970187379999998,1.297036438,169.1431493724019,1.0712902481440874
2022-07-06 22:01:13+00:00,2022-07-06 22:01:13+00:00,1.068897554821384,116.3288291508394,116.29281070175888,1.2965045169999998,1.294859314,1.2970187379999998,168.9321901301613,1.0700091645085243
2022-07-06 22:01:14+00:00,2022-07-06 22:01:14+00:00,1.067109546240903,116.37547613802052,116.3288291508394,1.298134766,1.2965045169999998,1.294859314,168.73598138952428,1.068897554821384
2022-07-06 22:01:15+00:00,2022-07-06 22:01:15+00:00,1.0644048078095787,116.44819145833804,116.37547613802052,1.297914886,1.298134766,1.2965045169999998,168.57246317780024,1.067109546240903
2022-07-06 22:01:16+00:00,2022-07-06 22:01:16+00:00,1.0611204328635044,116.55418586489552,116.44819145833804,1.297694855,1.297914886,1.298134766,168.45787866335314,1.0644048078095787
2022-07-06 22:01:17+00:00,2022-07-06 22:01:17+00:00,1.0578595855217132,116.68970594755,116.55418586489552,1.297474823,1.297694855,1.297914886,168.40215168959662,1.0611204328635044
2022-07-06 22:01:18+00:00,2022-07-06 22:01:18+00:00,1.055295282255331,116.84244460150266,116.68970594755,1.297254944,1.297474823,1.297694855,168.40639558327962,1.0578595855217132
2022-07-06 22:01:19+00:00,2022-07-06 22:01:19+00:00,1.0539630719422666,116.99653660737368,116.84244460150266,1.2970210270000002,1.297254944,1.297474823,168.46298079913188,1.055295282255331
2022-07-06 22:01:20+00:00,2022-07-06 22:01:20+00:00,1.053992927894826,117.13737885213844,116.99653660737368,1.294836273,1.2970210270000002,1.297254944,168.557233988664,1.0539630719422666
2022-07-06 22:01:21+00:00,2022-07-06 22:01:21+00:00,1.0549920086059985,117.25508990024512,117.13737885213844,1.2948493959999998,1.294836273,1.2970210270000002,168.6697154014377,1.053992927894826
2022-07-06 22:01:22+00:00,2022-07-06 22:01:22+00:00,1.056292973801231,117.34655848000614,117.25508990024512,1.297036438,1.2948493959999998,1.294836273,168.77879571043843,1.0549920086059985
2022-07-06 22:01:23+00:00,2022-07-06 22:01:23+00:00,1.0572960806655118,117.41593505682202,117.34655848000614,1.297014465,1.297036438,1.2948493959999998,168.86392928717893,1.056292973801231
2022-07-06 22:01:24+00:00,2022-07-06 22:01:24+00:00,1.0575539542374015,117.47289288745353,117.41593505682202,1.294849548,1.297014465,1.297036438,168.90985761237283,1.0572960806655118
2022-07-06 22:01:25+00:00,2022-07-06 22:01:25+00:00,1.0567190348110516,117.5281272039866,117.47289288745353,1.297036438,1.294849548,1.297014465,168.91097855907745,1.0575539542374015
2022-07-06 22:01:26+00:00,2022-07-06 22:01:26+00:00,1.054790808837588,117.58699789560929,117.5281272039866,1.297036438,1.297036438,1.294849548,168.87400114988074,1.0567190348110516
2022-07-06 22:01:27+00:00,2022-07-06 22:01:27+00:00,1.052449603649563,117.6445004821473,117.58699789560929,1.297036438,1.297036438,1.297036438,168.81682468868135,1.054790808837588
2022-07-06 22:01:28+00:00,2022-07-06 22:01:28+00:00,1.0506937839464523,117.6857810814569,117.6445004821473,1.297016602,1.297036438,1.297036438,168.76306538433732,1.052449603649563
2022-07-06 22:01:29+00:00,2022-07-06 22:01:29+00:00,1.0501088504510667,117.69389443962318,117.6857810814569,1.294862213,1.297016602,1.297036438,168.73428336814365,1.0506937839464523
2022-07-06 22:01:30+00:00,2022-07-06 22:01:30+00:00,1.0506790111578483,117.66117147591888,117.69389443962318,1.297029877,1.294862213,1.297016602,168.74368664041313,1.0501088504510667
2022-07-06 22:01:31+00:00,2022-07-06 22:01:31+00:00,1.0520702311140702,117.59674581609131,117.66117147591888,1.294836273,1.297029877,1.294862213,168.79400603644405,1.0506790111578483
2022-07-06 22:01:32+00:00,2022-07-06 22:01:32+00:00,1.053698452223243,117.52418367444604,117.59674581609131,1.294849548,1.294836273,1.297029877,168.87909122670644,1.0520702311140702
2022-07-06 22:01:33+00:00,2022-07-06 22:01:33+00:00,1.0547306393325282,117.4690069222415,117.52418367444604,1.297036438,1.294849548,1.294836273,168.98664278069856,1.053698452223243
2022-07-06 22:01:34+00:00,2022-07-06 22:01:34+00:00,1.0549299313399991,117.44243059226788,117.4690069222415,1.297034302,1.297036438,1.294849548,169.10018873147737,1.0547306393325282
2022-07-06 22:01:35+00:00,2022-07-06 22:01:35+00:00,1.0554034339460223,117.43124755626276,117.44243059226788,1.294836273,1.297034302,1.297036438,169.200462021354,1.0549299313399991
2022-07-06 22:01:36+00:00,2022-07-06 22:01:36+00:00,1.0576674037604712,117.401753500443,117.43124755626276,1.294855957,1.294836273,1.297034302,169.26733681702518,1.0554034339460223
2022-07-06 22:01:37+00:00,2022-07-06 22:01:37+00:00,1.062159723796427,117.31747652276373,117.401753500443,1.297036438,1.294855957,1.294836273,169.28303450125327,1.0576674037604712
2022-07-06 22:01:38+00:00,2022-07-06 22:01:38+00:00,1.0678774155257866,117.1609156441463,117.31747652276373,1.297036438,1.297036438,1.294855957,169.23646967068515,1.062159723796427
2022-07-06 22:01:39+00:00,2022-07-06 22:01:39+00:00,1.0732005329657293,116.94594001942114,117.1609156441463,1.297036438,1.297036438,1.297036438,169.12788306717857,1.0678774155257866
2022-07-06 22:01:40+00:00,2022-07-06 22:01:40+00:00,1.0769744347994146,116.7129827967067,116.94594001942114,1.297036438,1.297036438,1.297036438,168.97218721924017,1.0732005329657293
