timestamp,El1_Resistance_mOhm_filt_lag1,El1_Resistance_mOhm_filt_lag2,El1_Resistance_mOhm_filt_lag3,El1_Resistance_mOhm_filt_lag4,El1_Resistance_mOhm_filt_lag5,El1_Resistance_mOhm_filt_lag6,El1_Resistance_mOhm_filt_lag7,El1_Resistance_mOhm_filt_lag8,El1_Resistance_mOhm_filt_lag9,El1_Resistance_mOhm_filt_lag10,El1_dpos_m_filt_lag1,El1_dpos_m_filt_lag2,El1_dpos_m_filt_lag3,El1_dpos_m_filt_lag4,El1_dpos_m_filt_lag5,El1_dpos_m_filt_lag6,El1_dpos_m_filt_lag7,El1_dpos_m_filt_lag8,El1_dpos_m_filt_lag9,El1_dpos_m_filt_lag10,kA1_lag1,kA1_lag2,kA1_lag3,kA1_lag4,kA1_lag5,kA1_lag6,kA1_lag7,kA1_lag8,kA1_lag9,kA1_lag10,El1_Resistance_mOhm_filt,R_tilde_El1,El2_Resistance_mOhm_filt_lag1,El2_Resistance_mOhm_filt_lag2,El2_Resistance_mOhm_filt_lag3,El2_Resistance_mOhm_filt_lag4,El2_Resistance_mOhm_filt_lag5,El2_Resistance_mOhm_filt_lag6,El2_Resistance_mOhm_filt_lag7,El2_Resistance_mOhm_filt_lag8,El2_Resistance_mOhm_filt_lag9,El2_Resistance_mOhm_filt_lag10,El1_Resistance_mOhm_filt_lag1->El2,El1_Resistance_mOhm_filt_lag2->El2,El1_Resistance_mOhm_filt_lag3->El2,El1_Resistance_mOhm_filt_lag4->El2,El1_Resistance_mOhm_filt_lag5->El2,El1_Resistance_mOhm_filt_lag6->El2,El1_Resistance_mOhm_filt_lag7->El2,El1_Resistance_mOhm_filt_lag8->El2,El1_Resistance_mOhm_filt_lag9->El2,El1_Resistance_mOhm_filt_lag10->El2,El2_dpos_m_filt_lag1,El2_dpos_m_filt_lag2,El2_dpos_m_filt_lag3,El2_dpos_m_filt_lag4,El2_dpos_m_filt_lag5,El2_dpos_m_filt_lag6,El2_dpos_m_filt_lag7,El2_dpos_m_filt_lag8,El2_dpos_m_filt_lag9,El2_dpos_m_filt_lag10,kA2_lag1,kA2_lag2,kA2_lag3,kA2_lag4,kA2_lag5,kA2_lag6,kA2_lag7,kA2_lag8,kA2_lag9,kA2_lag10,El2_Resistance_mOhm_filt,R_tilde_El2,El3_Resistance_mOhm_filt_lag1,El3_Resistance_mOhm_filt_lag2,El3_Resistance_mOhm_filt_lag3,El3_Resistance_mOhm_filt_lag4,El3_Resistance_mOhm_filt_lag5,El3_Resistance_mOhm_filt_lag6,El3_Resistance_mOhm_filt_lag7,El3_Resistance_mOhm_filt_lag8,El3_Resistance_mOhm_filt_lag9,El3_Resistance_mOhm_filt_lag10,El1_Resistance_mOhm_filt_lag1->El3,El1_Resistance_mOhm_filt_lag2->El3,El1_Resistance_mOhm_filt_lag3->El3,El1_Resistance_mOhm_filt_lag4->El3,El1_Resistance_mOhm_filt_lag5->El3,El1_Resistance_mOhm_filt_lag6->El3,El1_Resistance_mOhm_filt_lag7->El3,El1_Resistance_mOhm_filt_lag8->El3,El1_Resistance_mOhm_filt_lag9->El3,El1_Resistance_mOhm_filt_lag10->El3,El2_Resistance_mOhm_filt_lag1->El3,El2_Resistance_mOhm_filt_lag2->El3,El2_Resistance_mOhm_filt_lag3->El3,El2_Resistance_mOhm_filt_lag4->El3,El2_Resistance_mOhm_filt_lag5->El3,El2_Resistance_mOhm_filt_lag6->El3,El2_Resistance_mOhm_filt_lag7->El3,El2_Resistance_mOhm_filt_lag8->El3,El2_Resistance_mOhm_filt_lag9->El3,El2_Resistance_mOhm_filt_lag10->El3,El3_dpos_m_filt_lag1,El3_dpos_m_filt_lag2,El3_dpos_m_filt_lag3,El3_dpos_m_filt_lag4,El3_dpos_m_filt_lag5,El3_dpos_m_filt_lag6,El3_dpos_m_filt_lag7,El3_dpos_m_filt_lag8,El3_dpos_m_filt_lag9,El3_dpos_m_filt_lag10,kA3_lag1,kA3_lag2,kA3_lag3,kA3_lag4,kA3_lag5,kA3_lag6,kA3_lag7,kA3_lag8,kA3_lag9,kA3_lag10,El3_Resistance_mOhm_filt,R_tilde_El3
2026-04-05 03:57:20,-0.04471838652799087,-0.04391481158143762,-0.04242740805059042,-0.04030604452455633,-0.037870144552938134,-0.03527355190899317,-0.032808037573429316,-0.03070681816630194,-0.029152017970664357,-0.028423355162273123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.56,130.98,130.39,130.34,130.28,130.89,130.21,130.09,130.2,130.58,-0.04481310282572837,-0.04481310282572837,0.04019652360823023,0.039682920227062546,0.0392546430221552,0.038911230384024886,0.03872502950132595,0.03873692217103408,0.03892431296574084,0.03935971638899405,0.03994459739341827,0.04057762478452287,-0.04471838652799087,-0.04391481158143762,-0.04242740805059042,-0.04030604452455633,-0.037870144552938134,-0.03527355190899317,-0.032808037573429316,-0.03070681816630194,-0.029152017970664357,-0.028423355162273123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.08,127.43,127.23,127.7,126.94,127.58,127.36,127.37,127.05,126.9,0.04067896503596646,0.04067896503596646,0.08547922672706276,0.0858954545479218,0.08641012307999096,0.0870544488860523,0.0878446993682993,0.08877204171533215,0.08978611944311776,0.09079041269979671,0.09175818419127846,0.09264528343382783,-0.04471838652799087,-0.04391481158143762,-0.04242740805059042,-0.04030604452455633,-0.037870144552938134,-0.03527355190899317,-0.032808037573429316,-0.03070681816630194,-0.029152017970664357,-0.028423355162273123,0.04019652360823023,0.039682920227062546,0.0392546430221552,0.038911230384024886,0.03872502950132595,0.03873692217103408,0.03892431296574084,0.03935971638899405,0.03994459739341827,0.04057762478452287,0.0,0.0,0.0,-0.00022999999999995246,-0.005360000000000031,-0.0021099999999999453,0.0,0.0,0.0,0.0,121.99,122.2,122.2,122.43,122.69,122.49,122.09,121.85,121.76,122.51,0.08509096189160936,0.08509096189160936
2026-04-05 03:57:21,-0.04481310282572837,-0.04471838652799087,-0.04391481158143762,-0.04242740805059042,-0.04030604452455633,-0.037870144552938134,-0.03527355190899317,-0.032808037573429316,-0.03070681816630194,-0.029152017970664357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.94,131.56,130.98,130.39,130.34,130.28,130.89,130.21,130.09,130.2,-0.04402775613388776,-0.04402775613388776,0.04067896503596646,0.04019652360823023,0.039682920227062546,0.0392546430221552,0.038911230384024886,0.03872502950132595,0.03873692217103408,0.03892431296574084,0.03935971638899405,0.03994459739341827,-0.04481310282572837,-0.04471838652799087,-0.04391481158143762,-0.04242740805059042,-0.04030604452455633,-0.037870144552938134,-0.03527355190899317,-0.032808037573429316,-0.03070681816630194,-0.029152017970664357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.69,128.08,127.43,127.23,127.7,126.94,127.58,127.36,127.37,127.05,0.04113960392167226,0.04113960392167226,0.08509096189160936,0.08547922672706276,0.0858954545479218,0.08641012307999096,0.0870544488860523,0.0878446993682993,0.08877204171533215,0.08978611944311776,0.09079041269979671,0.09175818419127846,-0.04481310282572837,-0.04471838652799087,-0.04391481158143762,-0.04242740805059042,-0.04030604452455633,-0.037870144552938134,-0.03527355190899317,-0.032808037573429316,-0.03070681816630194,-0.029152017970664357,0.04067896503596646,0.04019652360823023,0.039682920227062546,0.0392546430221552,0.038911230384024886,0.03872502950132595,0.03873692217103408,0.03892431296574084,0.03935971638899405,0.03994459739341827,0.0,0.0,0.0,0.0,-0.00022999999999995246,-0.005360000000000031,-0.0021099999999999453,0.0,0.0,0.0,121.8,121.99,122.2,122.2,122.43,122.69,122.49,122.09,121.85,121.76,0.08466329709811649,0.08466329709811649
2026-04-05 03:57:22,-0.04402775613388776,-0.04481310282572837,-0.04471838652799087,-0.04391481158143762,-0.04242740805059042,-0.04030604452455633,-0.037870144552938134,-0.03527355190899317,-0.032808037573429316,-0.03070681816630194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.91,130.94,131.56,130.98,130.39,130.34,130.28,130.89,130.21,130.09,-0.042245189209616396,-0.042245189209616396,0.04113960392167226,0.04067896503596646,0.04019652360823023,0.039682920227062546,0.0392546430221552,0.038911230384024886,0.03872502950132595,0.03873692217103408,0.03892431296574084,0.03935971638899405,-0.04402775613388776,-0.04481310282572837,-0.04471838652799087,-0.04391481158143762,-0.04242740805059042,-0.04030604452455633,-0.037870144552938134,-0.03527355190899317,-0.032808037573429316,-0.03070681816630194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.67,127.69,128.08,127.43,127.23,127.7,126.94,127.58,127.36,127.37,0.041621802875246194,0.041621802875246194,0.08466329709811649,0.08509096189160936,0.08547922672706276,0.0858954545479218,0.08641012307999096,0.0870544488860523,0.0878446993682993,0.08877204171533215,0.08978611944311776,0.09079041269979671,-0.04402775613388776,-0.04481310282572837,-0.04471838652799087,-0.04391481158143762,-0.04242740805059042,-0.04030604452455633,-0.037870144552938134,-0.03527355190899317,-0.032808037573429316,-0.03070681816630194,0.04113960392167226,0.04067896503596646,0.04019652360823023,0.039682920227062546,0.0392546430221552,0.038911230384024886,0.03872502950132595,0.03873692217103408,0.03892431296574084,0.03935971638899405,0.0,0.0,0.0,0.0,0.0,-0.00022999999999995246,-0.005360000000000031,-0.0021099999999999453,0.0,0.0,121.8,121.8,121.99,122.2,122.2,122.43,122.69,122.49,122.09,121.85,0.0841388532095686,0.0841388532095686
2026-04-05 03:57:23,-0.042245189209616396,-0.04402775613388776,-0.04481310282572837,-0.04471838652799087,-0.04391481158143762,-0.04242740805059042,-0.04030604452455633,-0.037870144552938134,-0.03527355190899317,-0.032808037573429316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.76,130.91,130.94,131.56,130.98,130.39,130.34,130.28,130.89,130.21,-0.03960500041382009,-0.03960500041382009,0.041621802875246194,0.04113960392167226,0.04067896503596646,0.04019652360823023,0.039682920227062546,0.0392546430221552,0.038911230384024886,0.03872502950132595,0.03873692217103408,0.03892431296574084,-0.042245189209616396,-0.04402775613388776,-0.04481310282572837,-0.04471838652799087,-0.04391481158143762,-0.04242740805059042,-0.04030604452455633,-0.037870144552938134,-0.03527355190899317,-0.032808037573429316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.71,127.67,127.69,128.08,127.43,127.23,127.7,126.94,127.58,127.36,0.041978181202639187,0.041978181202639187,0.0841388532095686,0.08466329709811649,0.08509096189160936,0.08547922672706276,0.0858954545479218,0.08641012307999096,0.0870544488860523,0.0878446993682993,0.08877204171533215,0.08978611944311776,-0.042245189209616396,-0.04402775613388776,-0.04481310282572837,-0.04471838652799087,-0.04391481158143762,-0.04242740805059042,-0.04030604452455633,-0.037870144552938134,-0.03527355190899317,-0.032808037573429316,0.041621802875246194,0.04113960392167226,0.04067896503596646,0.04019652360823023,0.039682920227062546,0.0392546430221552,0.038911230384024886,0.03872502950132595,0.03873692217103408,0.03892431296574084,0.0,0.0,0.0,0.0,0.0,0.0,-0.00022999999999995246,-0.005360000000000031,-0.0021099999999999453,0.0,121.81,121.8,121.8,121.99,122.2,122.2,122.43,122.69,122.49,122.09,0.08341765136457568,0.08341765136457568
2026-04-05 03:57:24,-0.03960500041382009,-0.042245189209616396,-0.04402775613388776,-0.04481310282572837,-0.04471838652799087,-0.04391481158143762,-0.04242740805059042,-0.04030604452455633,-0.037870144552938134,-0.03527355190899317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.38,130.76,130.91,130.94,131.56,130.98,130.39,130.34,130.28,130.89,-0.03621417959734874,-0.03621417959734874,0.041978181202639187,0.041621802875246194,0.04113960392167226,0.04067896503596646,0.04019652360823023,0.039682920227062546,0.0392546430221552,0.038911230384024886,0.03872502950132595,0.03873692217103408,-0.03960500041382009,-0.042245189209616396,-0.04402775613388776,-0.04481310282572837,-0.04471838652799087,-0.04391481158143762,-0.04242740805059042,-0.04030604452455633,-0.037870144552938134,-0.03527355190899317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.41,127.71,127.67,127.69,128.08,127.43,127.23,127.7,126.94,127.58,0.041792769365319504,0.041792769365319504,0.08341765136457568,0.0841388532095686,0.08466329709811649,0.08509096189160936,0.08547922672706276,0.0858954545479218,0.08641012307999096,0.0870544488860523,0.0878446993682993,0.08877204171533215,-0.03960500041382009,-0.042245189209616396,-0.04402775613388776,-0.04481310282572837,-0.04471838652799087,-0.04391481158143762,-0.04242740805059042,-0.04030604452455633,-0.037870144552938134,-0.03527355190899317,0.041978181202639187,0.041621802875246194,0.04113960392167226,0.04067896503596646,0.04019652360823023,0.039682920227062546,0.0392546430221552,0.038911230384024886,0.03872502950132595,0.03873692217103408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00022999999999995246,-0.005360000000000031,-0.0021099999999999453,121.68,121.81,121.8,121.8,121.99,122.2,122.2,122.43,122.69,122.49,0.08240646391585105,0.08240646391585105
2026-04-05 03:57:25,-0.03621417959734874,-0.03960500041382009,-0.042245189209616396,-0.04402775613388776,-0.04481310282572837,-0.04471838652799087,-0.04391481158143762,-0.04242740805059042,-0.04030604452455633,-0.037870144552938134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.33,130.38,130.76,130.91,130.94,131.56,130.98,130.39,130.34,130.28,-0.03217668254886885,-0.03217668254886885,0.041792769365319504,0.041978181202639187,0.041621802875246194,0.04113960392167226,0.04067896503596646,0.04019652360823023,0.039682920227062546,0.0392546430221552,0.038911230384024886,0.03872502950132595,-0.03621417959734874,-0.03960500041382009,-0.042245189209616396,-0.04402775613388776,-0.04481310282572837,-0.04471838652799087,-0.04391481158143762,-0.04242740805059042,-0.04030604452455633,-0.037870144552938134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.24,127.41,127.71,127.67,127.69,128.08,127.43,127.23,127.7,126.94,0.0414216557092022,0.0414216557092022,0.08240646391585105,0.08341765136457568,0.0841388532095686,0.08466329709811649,0.08509096189160936,0.08547922672706276,0.0858954545479218,0.08641012307999096,0.0870544488860523,0.0878446993682993,-0.03621417959734874,-0.03960500041382009,-0.042245189209616396,-0.04402775613388776,-0.04481310282572837,-0.04471838652799087,-0.04391481158143762,-0.04242740805059042,-0.04030604452455633,-0.037870144552938134,0.041792769365319504,0.041978181202639187,0.041621802875246194,0.04113960392167226,0.04067896503596646,0.04019652360823023,0.039682920227062546,0.0392546430221552,0.038911230384024886,0.03872502950132595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00022999999999995246,-0.005360000000000031,121.48,121.68,121.81,121.8,121.8,121.99,122.2,122.2,122.43,122.69,0.08110844391028871,0.08110844391028871
2026-04-05 03:57:26,-0.03217668254886885,-0.03621417959734874,-0.03960500041382009,-0.042245189209616396,-0.04402775613388776,-0.04481310282572837,-0.04471838652799087,-0.04391481158143762,-0.04242740805059042,-0.04030604452455633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.22,130.33,130.38,130.76,130.91,130.94,131.56,130.98,130.39,130.34,-0.027901962274968106,-0.027901962274968106,0.0414216557092022,0.041792769365319504,0.041978181202639187,0.041621802875246194,0.04113960392167226,0.04067896503596646,0.04019652360823023,0.039682920227062546,0.0392546430221552,0.038911230384024886,-0.03217668254886885,-0.03621417959734874,-0.03960500041382009,-0.042245189209616396,-0.04402775613388776,-0.04481310282572837,-0.04471838652799087,-0.04391481158143762,-0.04242740805059042,-0.04030604452455633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.71,127.24,127.41,127.71,127.67,127.69,128.08,127.43,127.23,127.7,0.041254932127062105,0.041254932127062105,0.08110844391028871,0.08240646391585105,0.08341765136457568,0.0841388532095686,0.08466329709811649,0.08509096189160936,0.08547922672706276,0.0858954545479218,0.08641012307999096,0.0870544488860523,-0.03217668254886885,-0.03621417959734874,-0.03960500041382009,-0.042245189209616396,-0.04402775613388776,-0.04481310282572837,-0.04471838652799087,-0.04391481158143762,-0.04242740805059042,-0.04030604452455633,0.0414216557092022,0.041792769365319504,0.041978181202639187,0.041621802875246194,0.04113960392167226,0.04067896503596646,0.04019652360823023,0.039682920227062546,0.0392546430221552,0.038911230384024886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00022999999999995246,121.84,121.48,121.68,121.81,121.8,121.8,121.99,122.2,122.2,122.43,0.07952477321574625,0.07952477321574625
2026-04-05 03:57:27,-0.027901962274968106,-0.03217668254886885,-0.03621417959734874,-0.03960500041382009,-0.042245189209616396,-0.04402775613388776,-0.04481310282572837,-0.04471838652799087,-0.04391481158143762,-0.04242740805059042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.33,130.22,130.33,130.38,130.76,130.91,130.94,131.56,130.98,130.39,-0.023297302511340656,-0.023297302511340656,0.041254932127062105,0.0414216557092022,0.041792769365319504,0.041978181202639187,0.041621802875246194,0.04113960392167226,0.04067896503596646,0.04019652360823023,0.039682920227062546,0.0392546430221552,-0.027901962274968106,-0.03217668254886885,-0.03621417959734874,-0.03960500041382009,-0.042245189209616396,-0.04402775613388776,-0.04481310282572837,-0.04471838652799087,-0.04391481158143762,-0.04242740805059042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.68,126.71,127.24,127.41,127.71,127.67,127.69,128.08,127.43,127.23,0.04091226940152182,0.04091226940152182,0.07952477321574625,0.08110844391028871,0.08240646391585105,0.08341765136457568,0.0841388532095686,0.08466329709811649,0.08509096189160936,0.08547922672706276,0.0858954545479218,0.08641012307999096,-0.027901962274968106,-0.03217668254886885,-0.03621417959734874,-0.03960500041382009,-0.042245189209616396,-0.04402775613388776,-0.04481310282572837,-0.04471838652799087,-0.04391481158143762,-0.04242740805059042,0.041254932127062105,0.0414216557092022,0.041792769365319504,0.041978181202639187,0.041621802875246194,0.04113960392167226,0.04067896503596646,0.04019652360823023,0.039682920227062546,0.0392546430221552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.11,121.84,121.48,121.68,121.81,121.8,121.8,121.99,122.2,122.2,0.07768172261257167,0.07768172261257167
2026-04-05 03:57:28,-0.023297302511340656,-0.027901962274968106,-0.03217668254886885,-0.03621417959734874,-0.03960500041382009,-0.042245189209616396,-0.04402775613388776,-0.04481310282572837,-0.04471838652799087,-0.04391481158143762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.69,130.33,130.22,130.33,130.38,130.76,130.91,130.94,131.56,130.98,-0.01797134402256706,-0.01797134402256706,0.04091226940152182,0.041254932127062105,0.0414216557092022,0.041792769365319504,0.041978181202639187,0.041621802875246194,0.04113960392167226,0.04067896503596646,0.04019652360823023,0.039682920227062546,-0.023297302511340656,-0.027901962274968106,-0.03217668254886885,-0.03621417959734874,-0.03960500041382009,-0.042245189209616396,-0.04402775613388776,-0.04481310282572837,-0.04471838652799087,-0.04391481158143762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.13,126.68,126.71,127.24,127.41,127.71,127.67,127.69,128.08,127.43,0.04034715921169796,0.04034715921169796,0.07768172261257167,0.07952477321574625,0.08110844391028871,0.08240646391585105,0.08341765136457568,0.0841388532095686,0.08466329709811649,0.08509096189160936,0.08547922672706276,0.0858954545479218,-0.023297302511340656,-0.027901962274968106,-0.03217668254886885,-0.03621417959734874,-0.03960500041382009,-0.042245189209616396,-0.04402775613388776,-0.04481310282572837,-0.04471838652799087,-0.04391481158143762,0.04091226940152182,0.041254932127062105,0.0414216557092022,0.041792769365319504,0.041978181202639187,0.041621802875246194,0.04113960392167226,0.04067896503596646,0.04019652360823023,0.039682920227062546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.34,122.11,121.84,121.48,121.68,121.81,121.8,121.8,121.99,122.2,0.07568708360247989,0.07568708360247989
2026-04-05 03:57:29,-0.01797134402256706,-0.023297302511340656,-0.027901962274968106,-0.03217668254886885,-0.03621417959734874,-0.03960500041382009,-0.042245189209616396,-0.04402775613388776,-0.04481310282572837,-0.04471838652799087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.2,130.69,130.33,130.22,130.33,130.38,130.76,130.91,130.94,131.56,-0.01264956600035183,-0.01264956600035183,0.04034715921169796,0.04091226940152182,0.041254932127062105,0.0414216557092022,0.041792769365319504,0.041978181202639187,0.041621802875246194,0.04113960392167226,0.04067896503596646,0.04019652360823023,-0.01797134402256706,-0.023297302511340656,-0.027901962274968106,-0.03217668254886885,-0.03621417959734874,-0.03960500041382009,-0.042245189209616396,-0.04402775613388776,-0.04481310282572837,-0.04471838652799087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.44,127.13,126.68,126.71,127.24,127.41,127.71,127.67,127.69,128.08,0.039679734490528196,0.039679734490528196,0.07568708360247989,0.07768172261257167,0.07952477321574625,0.08110844391028871,0.08240646391585105,0.08341765136457568,0.0841388532095686,0.08466329709811649,0.08509096189160936,0.08547922672706276,-0.01797134402256706,-0.023297302511340656,-0.027901962274968106,-0.03217668254886885,-0.03621417959734874,-0.03960500041382009,-0.042245189209616396,-0.04402775613388776,-0.04481310282572837,-0.04471838652799087,0.04034715921169796,0.04091226940152182,0.041254932127062105,0.0414216557092022,0.041792769365319504,0.041978181202639187,0.041621802875246194,0.04113960392167226,0.04067896503596646,0.04019652360823023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.65,122.34,122.11,121.84,121.48,121.68,121.81,121.8,121.8,121.99,0.07356657702959701,0.07356657702959701
