t_s,y_pred_mOhm,u_cmd,e,r
73.0,1.0432676639147913,0.7562838741578248,-0.022792224655362237,1.02
74.0,1.0427922246553623,0.7607472312370115,-0.022326500273023298,1.02
75.0,1.0423265002730233,0.7651193864151483,-0.021870292259045243,1.02
76.0,1.0418702922590453,0.7694022032641618,-0.02142340616086913,1.02
77.0,1.0414234061608691,0.7735975072767004,-0.020985651499271007,1.02
78.0,1.040985651499271,0.777707086644235,-0.020556841687195515,1.02
79.0,1.0405568416871955,0.7817326930192591,-0.02013679395023349,1.02
80.0,1.0401367939502335,0.7856760422619133,-0.01972532924871384,1.02
81.0,1.0397253292487139,0.7895388151713522,-0.019322272201384383,1.02
82.0,1.0393222722013844,0.7933226582021631,-0.018927451010649188,1.02
83.0,1.0389274510106492,0.7970291841661459,-0.01854069738933739,1.02
84.0,1.0385406973893374,0.800659972919751,-0.018161846488968125,1.02
85.0,1.0381618464889681,0.8042165720374708,-0.01779073682948651,1.02
86.0,1.0377907368294865,0.8077004974714718,-0.017427210230432477,1.02
87.0,1.0374272102304325,0.8111132341977474,-0.017071111743521827,1.02
88.0,1.0370711117435218,0.8144562368490696,-0.01672228958660016,1.02
89.0,1.0367222895866002,0.8177309303350054,-0.016380595078951066,1.02
90.0,1.036380595078951,0.8209387104492658,-0.016045882577919945,1.02
91.0,1.03604588257792,0.8240809444646435,-0.015718009416840317,1.02
92.0,1.0357180094168403,0.8271589717157957,-0.015396835844220913,1.02
93.0,1.035396835844221,0.830174104170116,-0.015082224964179547,1.02
94.0,1.0350822249641796,0.8331276269869436,-0.014774042678093569,1.02
95.0,1.0347740426780936,0.8360207990653451,-0.014472157627440474,1.02
96.0,1.0344721576274405,0.8388548535807026,-0.014176441137809803,1.02
97.0,1.0341764411378098,0.8416309985103384,-0.013886767164056124,1.02
98.0,1.0338867671640561,0.844350417148399,-0.013603012236574674,1.02
99.0,1.0336030122365747,0.8470142686102177,-0.013325055408673903,1.02
100.0,1.033325055408674,0.8496236883263723,-0.013052778205023596,1.02
101.0,1.0330527782050236,0.852179788526647,-0.012786064571155942,1.02
102.0,1.032786064571156,0.8546836587141047,-0.012524800824000204,1.02
103.0,1.0325248008240002,0.8571363661294736,-0.012268875603425045,1.02
104.0,1.032268875603425,0.8595389562060436,-0.01201817982477471,1.02
105.0,1.0320181798247747,0.8618924530152685,-0.011772606632371563,1.02
106.0,1.0317726066323716,0.8641978597032621,-0.01153205135397073,1.02
107.0,1.0315320513539707,0.8664561589183761,-0.011296411456145572,1.02
108.0,1.0312964114561456,0.8686683132300401,-0.01106558650058398,1.02
109.0,1.031065586500584,0.8708352655390446,-0.010839478101277056,1.02
110.0,1.030839478101277,0.8729579394794386,-0.010617989882584444,1.02
111.0,1.0306179898825845,0.8750372398122169,-0.010401027438155408,1.02
112.0,1.0304010274381554,0.8770740528109622,-0.010188498290688797,1.02
113.0,1.0301884982906888,0.8790692466396066,-0.00998031185251591,1.02
114.0,1.029980311852516,0.8810236717224752,-0.009776379386990053,1.02
115.0,1.02977637938699,0.882938161106768,-0.009576613970661452,1.02
116.0,1.0295766139706615,0.8848135308176346,-0.009380930456229564,1.02
117.0,1.0293809304562296,0.8866505802059942,-0.009189245436248328,1.02
118.0,1.0291892454362483,0.8884500922892477,-0.009001477207576825,1.02
119.0,1.0290014772075768,0.8902128340850287,-0.008817545736552246,1.02
120.0,1.0288175457365523,0.8919395569381343,-0.008637372624878292,1.02
121.0,1.0286373726248783,0.8936309968407752,-0.008460881076208349,1.02
122.0,1.0284608810762084,0.8952878747462828,-0.00828799586341189,1.02
123.0,1.028287995863412,0.8969108968764059,-0.008118643296510797,1.02
124.0,1.0281186432965108,0.8985007550223278,-0.007952751191268925,1.02
125.0,1.027952751191269,0.9000581268395333,-0.00779024883842494,1.02
126.0,1.027790248838425,0.9015836761366496,-0.007631066973553757,1.02
127.0,1.0276310669735538,0.9030780531583861,-0.007475137747542604,1.02
128.0,1.0274751377475426,0.9045418948626923,-0.00732239469767304,1.02
129.0,1.027322394697673,0.9059758251922531,-0.007172772719290066,1.02
130.0,1.02717277271929,0.9073804553404344,-0.007026208038053872,1.02
131.0,1.027026208038054,0.908756384011798,-0.006882638182755585,1.02
132.0,1.0268826381827556,0.9101041976772896,-0.006742001958690125,1.02
133.0,1.0267420019586901,0.9114244708242145,-0.006604239421573732,1.02
134.0,1.0266042394215737,0.912717766201106,-0.006469291851991743,1.02
135.0,1.0264692918519918,0.9139846350575879,-0.006337101730372385,1.02
136.0,1.0263371017303724,0.9152256173793385,-0.006207612712467503,1.02
137.0,1.0262076127124675,0.9164412421182511,-0.00608076960533932,1.02
138.0,1.0260807696053393,0.9176320274178933,-0.005956518343831485,1.02
139.0,1.0259565183438315,0.918798480834358,-0.005834805967529055,1.02
