t_s,y_pred,u_cmd,error,reference
45.0,-18.920248786189106,0.3,268.9202487861891,250.0
46.0,-18.963613611655806,0.3,268.96361361165583,250.0
47.0,-18.95370150542072,0.3,268.9537015054207,250.0
48.0,-18.899864978837385,0.3,268.8998649788374,250.0
49.0,-18.815201067745324,0.3,268.8152010677453,250.0
50.0,-18.714431323014676,0.3,268.71443132301465,250.0
51.0,-18.611915816158756,0.3,268.6119158161588,250.0
52.0,-18.520014831695896,0.3,268.5200148316959,250.0
53.0,-18.44793808685642,0.3,268.4479380868564,250.0
54.0,-18.401142333812953,0.3,268.40114233381297,250.0
55.0,-18.381264168230505,0.3,268.38126416823053,250.0
56.0,-18.386513761960014,0.3,268.38651376196003,250.0
57.0,-18.41241227949858,0.3,268.4124122794986,250.0
58.0,-18.452733207015154,0.3,268.45273320701517,250.0
59.0,-18.500505239251524,0.3,268.50050523925154,250.0
60.0,-18.548948974278495,0.3,268.5489489742785,250.0
61.0,-18.592247096132283,0.3,268.59224709613227,250.0
62.0,-18.62608277530952,0.3,268.6260827753095,250.0
63.0,-18.647918382253618,0.3,268.64791838225364,250.0
64.0,-18.657021526328425,0.3,268.65702152632844,250.0
65.0,-18.65427415967772,0.3,268.6542741596777,250.0
66.0,-18.641820584207302,0.3,268.6418205842073,250.0
67.0,-18.622620625227757,0.3,268.62262062522774,250.0
68.0,-18.599975243208075,0.3,268.59997524320806,250.0
69.0,-18.577084773236383,0.3,268.5770847732364,250.0
70.0,-18.556686888086627,0.3,268.55668688808663,250.0
71.0,-18.54080474312524,0.3,268.54080474312525,250.0
72.0,-18.53061808649527,0.3,268.5306180864953,250.0
73.0,-18.52645365020765,0.3,268.52645365020766,250.0
74.0,-18.527877634003367,0.3,268.52787763400335,250.0
75.0,-18.533863691676274,0.3,268.5338636916763,250.0
76.0,-18.543005007984828,0.3,268.54300500798485,250.0
77.0,-18.55373867847404,0.3,268.553738678474,250.0
78.0,-18.5645540359364,0.3,268.5645540359364,250.0
79.0,-18.57416281632522,0.3,268.5741628163252,250.0
80.0,-18.581616953794928,0.3,268.58161695379493,250.0
81.0,-18.58636815461364,0.3,268.58636815461364,250.0
82.0,-18.588271165719622,0.3,268.5882711657196,250.0
83.0,-18.58753900088423,0.3,268.58753900088425,250.0
84.0,-18.58466278505562,0.3,268.5846627850556,250.0
85.0,-18.58031110622748,0.3,268.5803111062275,250.0
86.0,-18.575223894347754,0.3,268.57522389434774,250.0
87.0,-18.5701141853432,0.3,268.5701141853432,250.0
88.0,-18.565588146452782,0.3,268.5655881464528,250.0
89.0,-18.562089991281294,0.3,268.5620899912813,250.0
90.0,-18.559874459013486,0.3,268.5598744590135,250.0
91.0,-18.559005870126104,0.3,268.5590058701261,250.0
92.0,-18.559379787830515,0.3,268.5593797878305,250.0
93.0,-18.5607612579474,0.3,268.5607612579474,250.0
94.0,-18.562832570212194,0.3,268.5628325702122,250.0
95.0,-18.565243444872515,0.3,268.5652434448725,250.0
96.0,-18.567657352332397,0.3,268.5676573523324,250.0
97.0,-18.569789096210336,0.3,268.56978909621034,250.0
98.0,-18.57143056867097,0.3,268.57143056867096,250.0
99.0,-18.57246345681936,0.3,268.5724634568194,250.0
100.0,-18.572859405701998,0.3,268.572859405702,250.0
101.0,-18.572669545353097,0.3,268.5726695453531,250.0
102.0,-18.57200625089778,0.3,268.5720062508978,250.0
103.0,-18.571020480187176,0.3,268.5710204801872,250.0
104.0,-18.569878041377894,0.3,268.5698780413779,250.0
105.0,-18.568737754155237,0.3,268.5687377541552,250.0
106.0,-18.567733789712154,0.3,268.5677337897122,250.0
107.0,-18.566963630700812,0.3,268.5669636307008,250.0
108.0,-18.566482208103388,0.3,268.56648220810337,250.0
109.0,-18.566301957828067,0.3,268.56630195782805,250.0
110.0,-18.566397881084708,0.3,268.5663978810847,250.0
111.0,-18.566716243067003,0.3,268.566716243067,250.0
112.0,-18.5671853250511,0.3,268.5671853250511,250.0
113.0,-18.56772664625063,0.3,268.5677266462506,250.0
114.0,-18.568265259608545,0.3,268.56826525960855,250.0
115.0,-18.568738049337064,0.3,268.56873804933707,250.0
116.0,-18.569099358407517,0.3,268.5690993584075,250.0
117.0,-18.569323692323607,0.3,268.5693236923236,250.0
118.0,-18.569405629339563,0.3,268.56940562933954,250.0
119.0,-18.569357376803392,0.3,268.5693573768034,250.0
120.0,-18.569204623420006,0.3,268.56920462342,250.0
121.0,-18.568981438423947,0.3,268.568981438424,250.0
122.0,-18.568724965720453,0.3,268.56872496572043,250.0
123.0,-18.56847057033609,0.3,268.5684705703361,250.0
124.0,-18.56824794020081,0.3,268.5682479402008,250.0
125.0,-18.568078456333723,0.3,268.56807845633375,250.0
126.0,-18.567973946803406,0.3,268.5679739468034,250.0
127.0,-18.567936758890646,0.3,268.56793675889065,250.0
128.0,-18.5679609384658,0.3,268.5679609384658,250.0
129.0,-18.568034207400075,0.3,268.56803420740005,250.0
130.0,-18.568140383188773,0.3,268.5681403831888,250.0
131.0,-18.56826188745795,0.3,268.56826188745794,250.0
132.0,-18.56838203381312,0.3,268.5683820338131,250.0
133.0,-18.568486859061657,0.3,268.56848685906164,250.0
134.0,-18.568566351946338,0.3,268.56856635194634,250.0
135.0,-18.568615026997968,0.3,268.568615026998,250.0
136.0,-18.56863187640852,0.3,268.5686318764085,250.0
137.0,-18.568619801137583,0.3,268.5686198011376,250.0
138.0,-18.568584668345256,0.3,268.56858466834524,250.0
139.0,-18.56853416372753,0.3,268.5685341637275,250.0
140.0,-18.568476605628994,0.3,268.568476605629,250.0
141.0,-18.56841986668425,0.3,268.5684198666842,250.0
142.0,-18.56837051366858,0.3,268.5683705136686,250.0
143.0,-18.56833323349917,0.3,268.5683332334992,250.0
144.0,-18.56831056913971,0.3,268.5683105691397,250.0
145.0,-18.568302948958372,0.3,268.5683029489584,250.0
146.0,-18.568308961001847,0.3,268.56830896100183,250.0
147.0,-18.56832580221458,0.3,268.5683258022146,250.0
148.0,-18.568349822744256,0.3,268.56834982274427,250.0
149.0,-18.56837708652523,0.3,268.56837708652523,250.0
150.0,-18.568403879516403,0.3,268.5684038795164,250.0
151.0,-18.56842711368502,0.3,268.568427113685,250.0
152.0,-18.568444595098264,0.3,268.56844459509824,250.0
153.0,-18.568455145373097,0.3,268.5684551453731,250.0
154.0,-18.568458584683064,0.3,268.56845858468307,250.0
155.0,-18.568455599591285,0.3,268.5684555995913,250.0
156.0,-18.568447528990003,0.3,268.56844752899,250.0
157.0,-18.568436105974865,0.3,268.56843610597485,250.0
158.0,-18.568423192869343,0.3,268.5684231928693,250.0
159.0,-18.56841054170646,0.3,268.56841054170644,250.0
