timestamp,target_time,El1_Resistance_mOhm_filt,El1_dpos_mps_filt_lag1,El1_dpos_mps_filt_lag2,El1_dpos_mps_filt_lag3,El1_kA_filt_lag1,El1_kA_filt_lag2,RMS_V_transformer_filt_lag1,y_filt_lag1,y_filt_lag2
2022-07-06 22:01:05+00:00,2022-07-06 22:01:05+00:00,1.0839882607382916,6.327117920134088e-07,-6.382079760353301e-06,-1.1869105387974409e-05,115.984914268761,115.97700122175073,169.96248489031052,1.0851514861306724,1.0860618379052172
2022-07-06 22:01:06+00:00,2022-07-06 22:01:06+00:00,1.0825624583920987,8.64388528086537e-06,6.327117920134088e-07,-6.382079760353301e-06,115.99867246187006,115.984914268761,169.9024383232014,1.0839882607382916,1.0851514861306724
2022-07-06 22:01:07+00:00,2022-07-06 22:01:07+00:00,1.0808665715294263,1.6842504460581444e-05,8.64388528086537e-06,6.327117920134088e-07,116.01956280158298,115.99867246187006,169.82157895627574,1.0825624583920987,1.0839882607382916
2022-07-06 22:01:08+00:00,2022-07-06 22:01:08+00:00,1.078928217074738,2.423029575203589e-05,1.6842504460581444e-05,8.64388528086537e-06,116.04872748090452,116.01956280158298,169.72055571346976,1.0808665715294263,1.0825624583920987
2022-07-06 22:01:09+00:00,2022-07-06 22:01:09+00:00,1.076815557342019,2.9749267336556405e-05,2.423029575203589e-05,1.6842504460581444e-05,116.08709897859298,116.04872748090452,169.60168677863197,1.078928217074738,1.0808665715294263
2022-07-06 22:01:10+00:00,2022-07-06 22:01:10+00:00,1.0746124132671286,3.241961069601251e-05,2.9749267336556405e-05,2.423029575203589e-05,116.13535842697448,116.08709897859298,169.46883554592011,1.076815557342019,1.078928217074738
2022-07-06 22:01:11+00:00,2022-07-06 22:01:11+00:00,1.072398557314907,3.146330784535821e-05,3.241961069601251e-05,2.9749267336556405e-05,116.19391202309174,116.13535842697448,169.3271269970378,1.0746124132671286,1.076815557342019
2022-07-06 22:01:12+00:00,2022-07-06 22:01:12+00:00,1.0702190573546284,2.64119103116264e-05,3.146330784535821e-05,3.241961069601251e-05,116.26287156728422,116.19391202309174,169.18253813765097,1.072398557314907,1.0746124132671286
2022-07-06 22:01:13+00:00,2022-07-06 22:01:13+00:00,1.0680671624758782,1.7205112564689238e-05,2.64119103116264e-05,3.146330784535821e-05,116.34202497764292,116.26287156728422,169.04140420008235,1.0702190573546284,1.072398557314907
2022-07-06 22:01:14+00:00,2022-07-06 22:01:14+00:00,1.0659263366306213,4.271375061093e-06,1.7205112564689238e-05,2.64119103116264e-05,116.4307930481722,116.34202497764292,168.90988875791405,1.0680671624758782,1.0702190573546284
2022-07-06 22:01:15+00:00,2022-07-06 22:01:15+00:00,1.0638194892790045,-1.1445133954269794e-05,4.271375061093e-06,1.7205112564689238e-05,116.528185094405,116.4307930481722,168.79347180355347,1.0659263366306213,1.0680671624758782
2022-07-06 22:01:16+00:00,2022-07-06 22:01:16+00:00,1.0618095969161572,-2.8555758594443437e-05,-1.1445133954269794e-05,4.271375061093e-06,116.63277738360772,116.528185094405,168.6965125757183,1.0638194892790045,1.0659263366306213
2022-07-06 22:01:17+00:00,2022-07-06 22:01:17+00:00,1.0599773020649284,-4.5412151594102456e-05,-2.8555758594443437e-05,-1.1445133954269794e-05,116.7427347396774,116.63277738360772,168.62193822037403,1.0618095969161572,1.0638194892790045
2022-07-06 22:01:18+00:00,2022-07-06 22:01:18+00:00,1.0583995228904146,-6.037065254465889e-05,-4.5412151594102456e-05,-2.8555758594443437e-05,116.8558799645403,116.7427347396774,168.57109239209396,1.0599773020649284,1.0618095969161572
2022-07-06 22:01:19+00:00,2022-07-06 22:01:19+00:00,1.0571262493072586,-7.206761840730915e-05,-6.037065254465889e-05,-4.5412151594102456e-05,116.96980022001406,116.8558799645403,168.54375311453168,1.0583995228904146,1.0599773020649284
2022-07-06 22:01:20+00:00,2022-07-06 22:01:20+00:00,1.0561577625629328,-7.963167311391234e-05,-7.206761840730915e-05,-6.037065254465889e-05,117.0819730623992,116.96980022001406,168.53830414465108,1.0571262493072586,1.0583995228904146
2022-07-06 22:01:21+00:00,2022-07-06 22:01:21+00:00,1.055438005725873,-8.277640811801026e-05,-7.963167311391234e-05,-7.206761840730915e-05,117.18989576300146,117.0819730623992,168.55202481398874,1.0561577625629328,1.0571262493072586
2022-07-06 22:01:22+00:00,2022-07-06 22:01:22+00:00,1.0548771023209291,-8.175322813782421e-05,-8.277640811801026e-05,-7.963167311391234e-05,117.29120390602172,117.18989576300146,168.58145180331948,1.055438005725873,1.0561577625629328
2022-07-06 22:01:23+00:00,2022-07-06 22:01:23+00:00,1.054385264438667,-7.719309638006284e-05,-8.175322813782421e-05,-8.277640811801026e-05,117.38376666538664,117.29120390602172,168.62276173536085,1.0548771023209291,1.055438005725873
2022-07-06 22:01:24+00:00,2022-07-06 22:01:24+00:00,1.0538937982334546,-6.990364639381982e-05,-7.719309638006284e-05,-8.175322813782421e-05,117.46574842460184,117.38376666538664,168.67212472228465,1.054385264438667,1.0548771023209291
2022-07-06 22:01:25+00:00,2022-07-06 22:01:25+00:00,1.0533652429534253,-6.068934351408876e-05,-6.990364639381982e-05,-7.719309638006284e-05,117.5356317298862,117.46574842460184,168.72598587817964,1.0538937982334546,1.054385264438667
2022-07-06 22:01:26+00:00,2022-07-06 22:01:26+00:00,1.0528134563833609,-5.0236143110543054e-05,-6.068934351408876e-05,-6.990364639381982e-05,117.5922055875176,117.5356317298862,168.78124482474766,1.0533652429534253,1.0538937982334546
