timestamp,y_true_mOhm,y_pred_cl_mOhm
2022-07-07 00:49:01+00:00,1.1061178033192358,1.134354075270566
2022-07-07 00:49:02+00:00,1.1072344459775,1.1339242687508748
2022-07-07 00:49:03+00:00,1.1087526073829954,1.1334599709213067
2022-07-07 00:49:04+00:00,1.1105103731054171,1.133013571853899
2022-07-07 00:49:05+00:00,1.112330516572061,1.1326299390374945
2022-07-07 00:49:06+00:00,1.114036472831344,1.1323424540136626
2022-07-07 00:49:07+00:00,1.115467855749781,1.1321701986281543
2022-07-07 00:49:08+00:00,1.1164938539228235,1.1321165253360062
2022-07-07 00:49:09+00:00,1.1170231052746034,1.132169120004391
2022-07-07 00:49:10+00:00,1.117009198043112,1.1323015314784624
2022-07-07 00:49:11+00:00,1.11645153707321,1.132476011746168
2022-07-07 00:49:12+00:00,1.115391785990813,1.132647395338075
2022-07-07 00:49:13+00:00,1.1139065044287673,1.1327676566452967
2022-07-07 00:49:14+00:00,1.1120970353347155,1.132790726819893
2022-07-07 00:49:15+00:00,1.1100780763254678,1.132677132540486
2022-07-07 00:49:16+00:00,1.1079665017250566,1.1323980385156265
2022-07-07 00:49:17+00:00,1.1058717817305843,1.1319383320410428
2022-07-07 00:49:18+00:00,1.1038888144856442,1.131298475876654
2022-07-07 00:49:19+00:00,1.1020933109683089,1.1304949670916156
2022-07-07 00:49:20+00:00,1.1005392974456123,1.1295593642808817
2022-07-07 00:49:21+00:00,1.0992580516492645,1.1285359725456288
2022-07-07 00:49:22+00:00,1.0982579225964166,1.127478393626842
2022-07-07 00:49:23+00:00,1.0975248340745736,1.126445247264942
2022-07-07 00:49:24+00:00,1.097023587416366,1.1254954407118982
2022-07-07 00:49:25+00:00,1.0967002056135136,1.124683400366501
2022-07-07 00:49:26+00:00,1.096485492105684,1.1240546797978475
2022-07-07 00:49:27+00:00,1.0962998129845511,1.1236423222934122
2022-07-07 00:49:28+00:00,1.0960589673197152,1.1234642870486875
2022-07-07 00:49:29+00:00,1.0956809115148576,1.123522152599651
2022-07-07 00:49:30+00:00,1.0950929829191487,1.123801197751179
2022-07-07 00:49:31+00:00,1.094239084767362,1.1242718392212627
2022-07-07 00:49:32+00:00,1.0930860909746472,1.1248922872240166
2022-07-07 00:49:33+00:00,1.09162859086276,1.1256121755994017
2022-07-07 00:49:34+00:00,1.0898911240466478,1.1263768409260575
2022-07-07 00:49:35+00:00,1.08792733830424,1.1271318723184955
2022-07-07 00:49:36+00:00,1.0858160064821178,1.1278275346402855
2022-07-07 00:49:37+00:00,1.083654394414688,1.1284226839720775
2022-07-07 00:49:38+00:00,1.081549893254221,1.128887843566331
2022-07-07 00:49:39+00:00,1.0796110106344907,1.1292071864958115
2022-07-07 00:49:40+00:00,1.0779387538188046,1.1293792705884143
2022-07-07 00:49:41+00:00,1.0766192404250805,1.129416483054
2022-07-07 00:49:42+00:00,1.0757181836580494,1.1293432664663408
2022-07-07 00:49:43+00:00,1.0752777509922329,1.1291933043710862
2022-07-07 00:49:44+00:00,1.075316059840546,1.1290059344351149
2022-07-07 00:49:45+00:00,1.075829133395024,1.1288221220128154
2022-07-07 00:49:46+00:00,1.0767945915207076,1.1286803618168433
2022-07-07 00:49:47+00:00,1.0781759787107057,1.1286128772960302
2022-07-07 00:49:48+00:00,1.0799266496268238,1.1286424565222748
2022-07-07 00:49:49+00:00,1.081992505963663,1.1287802029357097
2022-07-07 00:49:50+00:00,1.084313387563368,1.1290243948411864
2022-07-07 00:49:51+00:00,1.0868233604312667,1.1293605467961776
2022-07-07 00:49:52+00:00,1.0894504432482697,1.129762658046229
2022-07-07 00:49:53+00:00,1.0921165065146885,1.130195527559966
2022-07-07 00:49:54+00:00,1.0947381628336534,1.130617921294679
2022-07-07 00:49:55+00:00,1.0972293236407884,1.1309863032641085
2022-07-07 00:49:56+00:00,1.0995056187433578,1.1312587941262282
2022-07-07 00:49:57+00:00,1.1014901620891215,1.131399003329343
2022-07-07 00:49:58+00:00,1.1031195192827288,1.1313793946174515
2022-07-07 00:49:59+00:00,1.1043485084240845,1.1311838883827643
2022-07-07 00:50:00+00:00,1.105152730335467,1.130809473823265
2022-07-07 00:50:01+00:00,1.1055283084036376,1.1302666927428744
2022-07-07 00:50:02+00:00,1.1054889879699716,1.1295789571001926
2022-07-07 00:50:03+00:00,1.105061347927612,1.1287807651237831
2022-07-07 00:50:04+00:00,1.104279323909658,1.1279149768960433
2022-07-07 00:50:05+00:00,1.1031794396118708,1.1270293913667213
2022-07-07 00:50:06+00:00,1.1017979897269266,1.1261729258013866
2022-07-07 00:50:07+00:00,1.1001708800900434,1.1253917307192123
2022-07-07 00:50:08+00:00,1.0983360216912244,1.124725575875495
2022-07-07 00:50:09+00:00,1.0963373433845325,1.124204815872656
2022-07-07 00:50:10+00:00,1.0942288952620547,1.123848190208969
2022-07-07 00:50:11+00:00,1.092077339335471,1.123661636999939
2022-07-07 00:50:12+00:00,1.0899614497170775,1.1236382091046198
2022-07-07 00:50:13+00:00,1.0879680311840398,1.1237590840737939
2022-07-07 00:50:14+00:00,1.0861847017476898,1.1239955638407806
2022-07-07 00:50:15+00:00,1.084690941026458,1.1243118747812122
2022-07-07 00:50:16+00:00,1.083549351403045,1.1246685110725934
2022-07-07 00:50:17+00:00,1.0827989892636056,1.1250258199580225
2022-07-07 00:50:18+00:00,1.0824519067066471,1.1253475102126949
2022-07-07 00:50:19+00:00,1.082493011545617,1.1256037760597823
2022-07-07 00:50:20+00:00,1.082882493898565,1.125773766714804
2022-07-07 00:50:21+00:00,1.0835597531772283,1.1258471930209357
2022-07-07 00:50:22+00:00,1.0844479990825493,1.1258249416181714
2022-07-07 00:50:23+00:00,1.0854591702919238,1.125718656612398
2022-07-07 00:50:24+00:00,1.0864991488805769,1.1255493407670956
2022-07-07 00:50:25+00:00,1.087473290570449,1.125345114681418
2022-07-07 00:50:26+00:00,1.0882921002224728,1.1251383456745963
2022-07-07 00:50:27+00:00,1.0888766191143795,1.1249624118398431
2022-07-07 00:50:28+00:00,1.0891629375976872,1.1248483964194005
2022-07-07 00:50:29+00:00,1.0891053303961244,1.1248220109126712
2022-07-07 00:50:30+00:00,1.0886778146893603,1.1249010221435036
2022-07-07 00:50:31+00:00,1.0878742999927928,1.125093411195643
2022-07-07 00:50:32+00:00,1.0867077601343644,1.125396425097149
2022-07-07 00:50:33+00:00,1.085208913688793,1.1257966015091463
2022-07-07 00:50:34+00:00,1.083424745169619,1.1262707597032156
2022-07-07 00:50:35+00:00,1.0814169063811698,1.1267878655334551
2022-07-07 00:50:36+00:00,1.0792597280436356,1.1273116014617035
2022-07-07 00:50:37+00:00,1.0770373768750217,1.127803411652785
2022-07-07 00:50:38+00:00,1.0748397174201678,1.1282257519534251
2022-07-07 00:50:39+00:00,1.0727567423884308,1.1285452585469649
2022-07-07 00:50:40+00:00,1.0708719787190366,1.1287355584146237
2022-07-07 00:50:41+00:00,1.0692558553137514,1.1287794783643579
2022-07-07 00:50:42+00:00,1.0679603538214892,1.1286704641119354
2022-07-07 00:50:43+00:00,1.067016156534515,1.1284130916906494
2022-07-07 00:50:44+00:00,1.0664328996714472,1.128022633935824
2022-07-07 00:50:45+00:00,1.0662022176628898,1.127523727759201
2022-07-07 00:50:46+00:00,1.066302462171553,1.1269482660699228
2022-07-07 00:50:47+00:00,1.066703643169682,1.1263327046857907
2022-07-07 00:50:48+00:00,1.0673712360195784,1.125715023679136
2022-07-07 00:50:49+00:00,1.0682678952558051,1.125131610173809
2022-07-07 00:50:50+00:00,1.069352847751342,1.1246143334495535
2022-07-07 00:50:51+00:00,1.070579743688123,1.1241880632260455
2022-07-07 00:50:52+00:00,1.0718945969321565,1.1238688401988277
2022-07-07 00:50:53+00:00,1.0732355893607446,1.1236628481915873
2022-07-07 00:50:54+00:00,1.07453573925349,1.1235662651187777
2022-07-07 00:50:55+00:00,1.075728142403819,1.123565991805763
2022-07-07 00:50:56+00:00,1.0767524344558852,1.1236411805357402
2022-07-07 00:50:57+00:00,1.0775607810728585,1.123765415771164
2022-07-07 00:50:58+00:00,1.0781220158062,1.1239093438655336
2022-07-07 00:50:59+00:00,1.0784231982034451,1.1240435114943228
2022-07-07 00:51:00+00:00,1.0784686050969556,1.1241411570625728
2022-07-07 00:51:01+00:00,1.078276795706772,1.1241807066249412
2022-07-07 00:51:02+00:00,1.0778767187340326,1.1241477549981584
2022-07-07 00:51:03+00:00,1.077303774979828,1.1240363609535766
2022-07-07 00:51:04+00:00,1.07659640861854,1.1238495481945712
2022-07-07 00:51:05+00:00,1.0757934195492338,1.1235989755534705
2022-07-07 00:51:06+00:00,1.0749319844213003,1.1233038140615466
2022-07-07 00:51:07+00:00,1.0740463416851087,1.1229889386759693
2022-07-07 00:51:08+00:00,1.0731671177562447,1.1226826023399177
2022-07-07 00:51:09+00:00,1.0723213478564535,1.1224138045223464
2022-07-07 00:51:10+00:00,1.0715333909582334,1.122209591661172
2022-07-07 00:51:11+00:00,1.0708269422390684,1.12209253097773
2022-07-07 00:51:12+00:00,1.0702279744535408,1.122078581794362
2022-07-07 00:51:13+00:00,1.0697678442698058,1.1221755515108918
2022-07-07 00:51:14+00:00,1.0694854293785443,1.1223822702339932
2022-07-07 00:51:15+00:00,1.0694272624228185,1.1226885535529139
2022-07-07 00:51:16+00:00,1.0696450554682573,1.1230759529138516
2022-07-07 00:51:17+00:00,1.0701905317730418,1.1235192236919707
2022-07-07 00:51:18+00:00,1.0711080346239057,1.123988378500329
2022-07-07 00:51:19+00:00,1.0724259693587646,1.1244511429547253
2022-07-07 00:51:20+00:00,1.0741486363902433,1.1248755973455042
2022-07-07 00:51:21+00:00,1.0762501887528702,1.1252327732628928
2022-07-07 00:51:22+00:00,1.078672118111213,1.125498980258388
2022-07-07 00:51:23+00:00,1.0813249283021518,1.125657663366608
2022-07-07 00:51:24+00:00,1.0840938277362304,1.1257006352968626
2022-07-07 00:51:25+00:00,1.086847647124035,1.1256285833747346
2022-07-07 00:51:26+00:00,1.089449820677821,1.1254508157844372
2022-07-07 00:51:27+00:00,1.0917700862691353,1.125184278575512
2022-07-07 00:51:28+00:00,1.093695526125358,1.124851938339312
2022-07-07 00:51:29+00:00,1.09513971396502,1.1244806798847313
2022-07-07 00:51:30+00:00,1.0960490900190776,1.124098908953247
2022-07-07 00:51:31+00:00,1.0964061782854595,1.1237340735713324
2022-07-07 00:51:32+00:00,1.096229684243656,1.1234103221509322
2022-07-07 00:51:33+00:00,1.095571695501376,1.1231465017206133
2022-07-07 00:51:34+00:00,1.0945122077329723,1.122954667203002
2022-07-07 00:51:35+00:00,1.0931512616120294,1.1228392254972859
2022-07-07 00:51:36+00:00,1.0915992990166603,1.1227967805907288
2022-07-07 00:51:37+00:00,1.0899668373167093,1.1228166831918314
2022-07-07 00:51:38+00:00,1.0883548622220136,1.1228822260356224
2022-07-07 00:51:39+00:00,1.0868471539741495,1.122972369551829
2022-07-07 00:51:40+00:00,1.0855051495094383,1.1230638369270365
2022-07-07 00:51:41+00:00,1.0843652742730867,1.1231333866469364
2022-07-07 00:51:42+00:00,1.0834383341638372,1.123160056951005
