t_s,y1,y2,y3,r1,r2,r3,u1,u2,u3,e1,e2,e3
23.0,1.0700230638616277,1.0646960873838225,1.0813244034154137,1.02,1.02,1.02,1.020574194888752,0.8173841388590226,0.44842564899372156,-0.050021791414999406,-0.04469455700274416,-0.06132271228531261
24.0,1.0700217914149994,1.0646945570027442,1.0813227122853126,1.02,1.02,1.02,1.019573759060452,0.8164902477189677,0.4471991947480153,-0.05002051900835203,-0.04469302666644537,-0.061321021198645465
25.0,1.070020519008352,1.0646930266664454,1.0813210211986455,1.02,1.02,1.02,1.0185733486802848,0.8155963871856388,0.44597277432404236,-0.050019246641684445,-0.04469149637492542,-0.06131933015541069
26.0,1.0700192466416845,1.0646914963749254,1.0813193301554107,1.02,1.02,1.02,1.017572963747451,0.8147025572581402,0.44474638772093417,-0.05001797431499533,-0.04468996612818277,-0.06131763915560717
27.0,1.0700179743149953,1.0646899661281828,1.0813176391556072,1.02,1.02,1.02,1.0165726042611511,0.8138087579355766,0.44352003493782205,-0.050016702028283344,-0.04468843592621652,-0.06131594819923358
28.0,1.0700167020282834,1.0646884359262165,1.0813159481992336,1.02,1.02,1.02,1.0155722702205854,0.8129149892170523,0.4422937159738374,-0.050015429781547605,-0.044686905769025564,-0.06131425728628881
29.0,1.0700154297815476,1.0646869057690256,1.0813142572862888,1.02,1.02,1.02,1.0145719616249544,0.8120212511016718,0.4410674308281116,-0.05001415757478678,-0.044685375656608795,-0.0613125664167713
30.0,1.0700141575747868,1.0646853756566088,1.0813125664167713,1.02,1.02,1.02,1.0135716784734587,0.8111275435885396,0.4398411794997762,-0.05001288540799953,-0.0446838455889651,-0.061310875590679714
31.0,1.0700128854079995,1.0646838455889651,1.0813108755906797,1.02,1.02,1.02,1.0125714207652987,0.8102338666767602,0.43861496198796257,-0.05001161328118475,-0.04468231556609337,-0.06130918480801317
32.0,1.0700116132811848,1.0646823155660934,1.0813091848080132,1.02,1.02,1.02,1.011571188499675,0.8093402203654384,0.4373887782918023,-0.050010341194341335,-0.04468078558799271,-0.06130749406877012
